Tweet,Label
@AXISgsm Semoga Kota Jakarta makin bebas dari polusi kedepannya dan semoga kita yg jauh makin didekatkan walaupun harus physical distancing eheee #HUTDKI493,1
"@Aprilaola @shitlicious Kita ketemu dionline aja dulu, real lifenya masih otw abis physical distancing",1
"Mas, mangaaaaaat mas.
Tetep physical distancing ya, Mas. https://t.co/FiXPEke0LT",1
"Tapi tetimakasih yang sebesar2 nya buat warga yang sudah patuh, physical distancing, pakai masker, dirumah aja, dll, you guys are the real hero",1
@nadion15 Yaa maaf dion<U+0001F62D> tapi aku tetep berlakuin physical distancing dan cuci tangan terus kok<U+0001F449><U+0001F448> jangan lah marah,1
"Physical distancing 2020
.
.
.
Rindu suasana yg duluuu...  
<U+0001F62D>
#metime https://t.co/ItDInnmQgf",1
"mau new normal ataupun psbb, intinya jangan lupa sama protokol kesehatan, jaga diri masing-masing aja, kesadaran diri masing-masing, physical distancing, rutin mencuci tgn, selalu pake masker + rutin menjaga kebersihan masker, semoga keadaan segera pulih, ttp optimis <U+2764><U+2728>",1
Serius bertanya : Jika semua santri masuk dengan membawa hasil swab negatif dan setelah mereka masuk pondok dilockdown. Apakah setelah itu tetap physical distancing dll ? @inisifani #lagi_ngatur_ranjang_asrama,1
"Untuk sekarang, lakukan aja hal-hal yg meningkatkan ketahanan tubuh, tetap jaga physical distancing, jaga perilaku hidup bersih dan sehat, dan pakai masker.",1
"Ramadhan kali ini berbeda karena harus #DiRumahAja ?
Kuliah subuh dan kultum lainnya pun tidak bisa dihadiri karena harus physical distancing? 

Tenang, sekarang Sahabat Peduli bisa ikut pengajian online melalui Ngaji &amp; Berbagi #DiRumahAja dg klik link: https://t.co/pADgWoEh3W https://t.co/HSSaSEOSrl",1
"@GuyonWaton Menerapkan physical distancing , saluddd",1
@cincaixiexie Physical distancing aih kamu,1
"@Choirur_Rizqi @fathrahman Oiyaa... Wow gila yha mas Fatkur, emang ndak ada cela nya pa? HatiÃƒâ€šÃ‚Â² yha, physical distancing. Stay safe adek (calon) dokter.",1
@anggitachoo Physical distancing woi,1
"Tetap patuhi protokol kesehatan Covid-19 dan meminimalisir kontak langsung (physical distancing) ya Warganet! 

 #humaskabbekasi #kabupatenbekasi",1
"@UNSfess_ Saya akan mencoba menjawab dengan bijak. Untuk menjauhi kerumunan orang,sebaiknya kencan di kos aja. Tapi jangan lupa physical distancing dan membersihkan diri sebelum dan sesudah kencan. Kira-kira begitu, nder. Oiya, jangan lupa pake pelindung diri berupa masker dll.Terimagadis",1
@dongshicheng @jaehturn @mademrosie Jarak 100 meter harusnya physical distancing! <U+0001F614><U+270B>,1
"@aimantauhid @luceatlux_tua Eitttt, physical distancing wkwk",1
"#Repost @hendrarprihadi
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢
JADILAH PAHLAWAN UNTUK DIRIMU DAN SEKITARMU
.
Pakai Masker - Upayakan Physical Distancing - Jaga Kebersihan Diri dan Sekitar
.
#BergerakBersama #LawanBersamaCorona #SemarangLawanCorona https://t.co/Oq7qcDpRt8",1
@athetonix tapi disuruh physical distancing biar ga disamperinmba corina ;(,1
"Petugas Polsek Kartoharjo Polres Magetan Patroli Dialogis dengan masyarakat Bayemtaman,Kartoharjo Sampaikan Pesan Kamtibmas,New Normal wajib untuk semua masyarakat Pakai Masker Physical Distancing Cegah Penyebaran Covid 19,Pantau Situasi Kamtibmas Ciptakan Kamtibmas yang aman https://t.co/CX7DdXmbrr",1
"@intan_tegal Semangat sosial, physical distancing <U+0001F604>",1
@salsabilazr_ kan kulinya physical distancing:):),1
"hari ini ke sanggar rasanya mau meluk anak-anak satu-satu tapi ya gimana physical distancing, udah gitu sibuk assessment warga juga, mau ga mau masuk ke rumah satu-satu :')",1
"Sabtu 16 Mei 2020, Personil Polsek Sungai Kunjang melaksanakan CIPTA KONDISI di wilkum Polsek Sungai Kunjang, adapun tujuan CIPTA KONDISI untuk memberikan Himbuan tentang SOCIAL DISTANCING, PHYSICAL DISTANCING, GUNAKAN MASKER, JANGAN MUDIK. https://t.co/fmKc2RPu3I",1
@o_windarto Ga perlu SIKM.. nanti bis nya kan menerapkan ketentuan di PM 18 Tahun 2020 soal 50% penumpang untuk penerapan physical distancing..,1
"emang sh krn ada psbb di jakarta sama imbauan physical distancing sejak maret kan udah dibatasin 1 kereta kapasitas cuma 50%, duduk 1 lajur cuma 1, yg biasanya bisa 2-5 orang. Krn pun okupansinya sangat kecil dan rugi ya terpaksa dicancel yg ga nutup operational cost.",1
"[FORUM DISKUSI INSIDENTAL KEMBALI LAGI]

Setelah lebih dari tiga bulan melakukan karantina dan physical distancing untuk menekan laju penyebaran COVID-19, sudah waktunya kita memulai untuk beradaptasi dengan keadaan yang baru. https://t.co/S4NI5zTtN5",1
"Tindak Karantina Pemeriksaan Fisik pada masa physical distancing Covid 19 di Instalasi Karantina Ikan Banjarmasin oleh Petugas BKIPM Tujuan Jakarta dan Batam
#OneHealthKIPM.@HumasBKIPM @rinajanwar2201 @sokhib1968 @kkpgoid @ITJEN_KKP  @riza_priyatna  @tgh_samudro @Sarwandedi https://t.co/ULyhhYC849",1
Penerapan PSBB tentu tetap dimonitor scr ketat. Physical Distancing di pasar rakyat sudah diperluas himbauannya oleh pak Doni @Kemendag https://t.co/TZSpq7t7IY,1
"Penampakan Bus Listrik Masa Depan: Keren, Minimalis, dan...Ikut Physical Distanc  https://t.co/QG7NgcDDKY",1
Nggak perlu repot keluar rumah buat bayar tagihan kartuHalo selama physical distancing. Tinggal aktifkan fitur auto payment dan kamu bisa #DiRumahTerusMaju. Kamu juga bisa dapatkan banyak keuntungan saat bayar tagihannya. Mau? Cek aja di https://t.co/Oy5Unbwle8. https://t.co/mqwzmOYg17,1
Personil KRYD Regu 1 Polsek Manggar melaksanakan patroli dialogis menyampaikan kepada masyarakat untuk mematuhi kebijakan pemerintah dengan memakai Masker dan melakukan physical Distancing saat berada ditempatÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/b7J2OcWbxF,1
"Kenapa ga mulai gaya hidup baru? seperti mencuci tangan , selalu pake masker , physical distancing? Udah tau orang Indonesia bandel sama kaya ginian #indonesiaterserah",1
@FiveTailSoup Wkwk samarinda aman selama masih menerapkan physical distancing dan dirumah aja <U+0001F44C><U+0001F3FB>,1
"Selamat pagi.

1). JAGA KESEHATAN

2). GUNAKAN MASKER SAAT KELUAR RUMAH.

3). TERTIB DAN DISIPLIN PHYSICAL DISTANCING

4). CUCI TANGAN SETELAH AKTIVITAS.",1
"Intinya; new normal itu akan jauh lebih safe jika dilakukan ketika kurva sudah mulai turun, penegakan regulasi oke, dan masyarakat mau membiasakan diri hidup lebih bersih dan sehat. Normalize cleaning stuffs, washing hands, wearing mask, physical distancing, etc.",1
"AYO!... Bersama Kita Putus Mata Rantai Covid-19
Himbauan agar menjaga jarak (Physical Distancing), rajin cuci tangan, pola hidup bersih, usahakan dirumah saja dan memakai masker untuk pencegahan penyebaran virus Covid-19 
#CoronaBisaDicegah
#PolsekTombuluCegahCorona https://t.co/V8ENxZGhp4",1
"NEW NORMAL Regu Patroli Pencegahan Covid-19 imbau masyarakat untuk menggunakan masker dan menjaga jarak (physical distancing) pada
saat beraktifitas di luar rumah

#TataKehidupanBaru
#NewNormalLife https://t.co/I6GtS67WRf",1
